,theaterId,street1,city,state,0,1
295,1409,30178 Haun Rd,Menifee,CA,-117.17145,33.68198
296,141,3900 Sisk Rd Ste B,Modesto,CA,-121.06323,37.694626
297,1422,7041 Sw Nyberg St,Tualatin,OR,-122.74875,45.38643
298,1439,133 S Frontage Rd,Meridian,MS,-88.6685,32.36271
299,1447,304 Market Plz,Southaven,MS,-89.9953,34.965248
300,1455,4401 Transit Rd,Buffalo,NY,-78.6984,42.98654
301,1466,5135 Sunset Blvd,Lexington,SC,-81.198,34.00471
302,147,237 Crossroads Blvd,Cary,NC,-78.73716,35.76342
303,1513,2441 North Maize Rd,Wichita,KS,-97.462541,37.728201
304,1528,276 Retail Commons Parkway,Martinsburg,WV,-77.9638869,39.4562099
305,158,1980 Griffith Rd,Winston Salem,NC,-80.308685,36.063457
306,1660,6000 Glades Road,Boca Raton,FL,-80.134027,26.364756
307,1776,2300 Petrie Lane,Lanham,MD,-76.840031,38.965273
308,1767,9839 Rea Rd,Charlotte,NC,-80.80406,35.03367
309,1785,2431 Cobbs Ford Rd,Prattville,AL,-86.39852,32.45631
310,179,10799 Washington Blvd,Culver City,CA,-118.40641,34.016224
311,1915,2150 Northwoods Blvd,Charleston,SC,-80.041588,32.94358
312,1916,5959 Triangle Town Blvd,Raleigh,NC,-78.571493,35.864931
313,1923,2929 Turner Hill Road,Lithonia,GA,-84.088812,33.698426
314,1926,400 W Route 38,Moorestown,NJ,-74.963355,39.943279
315,1030,5890 N Elizabeth St,Pueblo,CO,-104.61839,38.329201
316,1048,17800 S Halsted St,Homewood,IL,-87.637192,41.56646
317,1031,1740 30th St,Boulder,CO,-105.25302,40.01675
318,1045,2460 E Charleston Rd,Mountain View,CA,-122.09568,37.423073
319,1079,210 Ken Pratt Blvd,Longmont,CO,-105.09621,40.15467
320,1082,2003 N Loop 1604 E,San Antonio,TX,-98.464653,29.611219
321,1091,60 Smithfield Blvd,Plattsburgh,NY,-73.503448,44.700077
322,1154,4180 Us Hwy 1,Monmouth Jct,NJ,-74.57343,40.38204
323,117,12989 Park Plaza Dr,Cerritos,CA,-118.05516,33.86932
324,120,1950 Santa Rosa Ave,Santa Rosa,CA,-122.71011,38.420128
325,138,1490 Fitzgerald Rd,Pinole,CA,-122.30667,37.990162
326,142,63 Ranch Ave,Milpitas,CA,-121.92157,37.428322
327,1473,8012 N 10th St,McAllen,TX,-98.214592,26.277658
328,1475,13141 City Station Dr,Jacksonville,FL,-81.633011,30.481318
329,1476,1455 Stafford Market Pl,Stafford,VA,-77.41209,38.47249
330,1492,214 Hinton Oaks Blvd,Knightdale,NC,-78.51304,35.79744
331,1506,2255 Springfield Ave,Vauxhall,NJ,-74.28622,40.71637
332,1519,175 Grandview Blvd,Madison,MS,-90.13492,32.46571
333,1511,13510 West Paxton St,Pacoima,CA,-118.426925,34.273151
334,152,6001 NW Loop 410,San Antonio,TX,-98.615768,29.471991
335,15,8301 3rd St N,Oakdale,MN,-92.936394,44.950054
336,161,100 Meijer Dr.,Florence,KY,-84.636383,39.014843
337,1659,1500 South Willow Street,Manchester,NH,-71.435981,42.954145
338,1673,2800 N. Main Street,Santa Ana,CA,-117.867444,33.77649
339,166,1541 Carl D Silver Pkwy,Fredericksburg,VA,-77.505241,38.303417
340,178,11066 Pecan Park Blvd,Cedar Park,TX,-97.79863,30.468731
341,1797,20815 Interstate 30 S,Benton,AR,-92.531,34.60594
342,188,59 N Broadway,Chula Vista,CA,-117.09515,32.651306
343,1905,24201 West Valencia Blvd,Valencia,CA,-118.552652,34.414004
344,1929,11160 Veirs Mill Road,Silver Spring,MD,-77.052715,39.03819
345,1927,505 Neshaminy Mall,Bensalem,PA,-74.954257,40.136828
346,195,4100 Kemp Blvd,Wichita Falls,TX,-98.53701,33.868481
347,206,115 N 76th St,Omaha,NE,-96.030488,41.260722
348,207,5001 N Big Hollow Rd,Peoria,IL,-89.64386,40.750259
349,105,12260 Foothill Blvd,Rancho Cucamonga,CA,-117.537857,34.10677
350,1109,10035 W Mcdowell Rd,Avondale,AZ,-112.27374,33.463428
